UniqueIndex,Comment,Icon,Type,PossibleHero,PossibleDeck,DeckUniqueID,SC,Rare,EnchantExp,SacrificeExp,CoolTime,SummonArea,illustTable,ResourceTable,DataTable,HeroDataTable,UniqueGroup,NextID,Enchant,MaxEnchant,Limit,MaxLimit,LevelDataTable,AddtionDataTable,ActionScript,UsingSound
1001,0,0,0,0,1,1001,0,100,0,0,1,0,U_000,1011,1001,0,0,0,0,0,0,0,0,0,ActionNormal,FX_COM03_UseUnit
2001,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,8,8,8,0,U_002,1011,2001,0,2001,2002,0,4,0,1,6100,0,ActionNormal,FX_COM03_UseUnit
2002,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,16,16,8,0,U_002,1011,2001,0,2001,2003,1,4,0,1,6100,0,ActionNormal,FX_COM03_UseUnit
2003,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,24,24,8,0,U_002,1011,2001,0,2001,2004,2,4,0,1,6100,0,ActionNormal,FX_COM03_UseUnit
2004,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,32,32,8,0,U_002,1011,2001,0,2001,2005,3,4,0,1,6100,0,ActionNormal,FX_COM03_UseUnit
2005,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,1,40,8,0,U_002,1011,2001,0,2001,2006,4,4,0,1,6100,0,ActionNormal,FX_COM03_UseUnit
2006,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,48,48,8,0,U_002,1011,2001,0,2001,2007,5,10,1,1,6100,0,ActionNormal,FX_COM03_UseUnit
2007,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,66,56,8,0,U_002,1011,2001,0,2001,2008,6,10,1,1,6100,0,ActionNormal,FX_COM03_UseUnit
2008,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,75,64,8,0,U_002,1011,2001,0,2001,2009,7,10,1,1,6100,0,ActionNormal,FX_COM03_UseUnit
2009,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,85,72,8,0,U_002,1011,2001,0,2001,2010,8,10,1,1,6100,0,ActionNormal,FX_COM03_UseUnit
2010,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,94,80,8,0,U_002,1011,2001,0,2001,2011,9,10,1,1,6100,0,ActionNormal,FX_COM03_UseUnit
2011,CARD_COMMENT_2001,0,1,0,1,2001,17,1000,0,88,8,0,U_002,1011,2001,0,2001,0,10,10,1,1,6100,0,ActionNormal,FX_COM03_UseUnit
2101,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,8,8,8,0,U_003,1011,2101,0,2101,2102,0,4,0,1,7300,0,ActionNormal,FX_COM03_UseUnit
2102,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,16,16,8,0,U_003,1011,2101,0,2101,2103,1,4,0,1,7300,0,ActionNormal,FX_COM03_UseUnit
2103,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,24,24,8,0,U_003,1011,2101,0,2101,2104,2,4,0,1,7300,0,ActionNormal,FX_COM03_UseUnit
2104,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,32,32,8,0,U_003,1011,2101,0,2101,2105,3,4,0,1,7300,0,ActionNormal,FX_COM03_UseUnit
2105,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,1,40,8,0,U_003,1011,2101,0,2101,2106,4,4,0,1,7300,0,ActionNormal,FX_COM03_UseUnit
2106,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,48,48,8,0,U_003,1011,2101,0,2101,2107,5,10,1,1,7300,0,ActionNormal,FX_COM03_UseUnit
2107,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,66,56,8,0,U_003,1011,2101,0,2101,2108,6,10,1,1,7300,0,ActionNormal,FX_COM03_UseUnit
2108,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,75,64,8,0,U_003,1011,2101,0,2101,2109,7,10,1,1,7300,0,ActionNormal,FX_COM03_UseUnit
2109,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,85,72,8,0,U_003,1011,2101,0,2101,2110,8,10,1,1,7300,0,ActionNormal,FX_COM03_UseUnit
